Data da Leitura;Vazio;Ponta;Cheias
2025-09-03 00:00:00;17983;2947;7446
2025-09-02 00:00:00;17975;2946;7443
2025-09-01 00:00:00;17966;2944;7440
2025-08-31 00:00:00;17961;2943;7437
2025-08-30 00:00:00;17954;2942;7435
2025-08-29 00:00:00;17949;2941;7431
2025-08-28 00:00:00;17947;2940;7428
2025-08-27 00:00:00;17941;2939;7425
2025-08-26 00:00:00;17935;2937;7422
2025-08-25 00:00:00;17926;2935;7419
2025-08-24 00:00:00;17917;2934;7417
2025-08-23 00:00:00;17907;2933;7414
2025-08-22 00:00:00;17902;2932;7411
2025-08-21 00:00:00;17896;2931;7407
2025-08-20 00:00:00;17886;2929;7403
2025-08-19 00:00:00;17877;2929;7399
2025-08-18 00:00:00;17866;2927;7394
2025-08-17 00:00:00;17861;2927;7392
2025-08-16 00:00:00;17859;2926;7390
2025-08-15 00:00:00;17857;2925;7388
2025-08-14 00:00:00;17851;2923;7383
2025-08-13 00:00:00;17841;2922;7380
2025-08-12 00:00:00;17835;2920;7376
2025-08-11 00:00:00;17829;2919;7372
2025-08-10 00:00:00;17820;2918;7369
2025-08-09 00:00:00;17812;2917;7367
2025-08-08 00:00:00;17809;2916;7364
2025-08-07 00:00:00;17800;2914;7361
2025-08-06 00:00:00;17791;2913;7357
2025-08-05 00:00:00;17786;2910;7353
2025-08-04 00:00:00;17776;2909;7349
2025-08-03 00:00:00;17768;2908;7347
2025-08-02 00:00:00;17763;2907;7343
2025-08-01 00:00:00;17760;2905;7338
2025-07-31 00:00:00;17749;2904;7335
2025-07-30 00:00:00;17740;2903;7331
2025-07-29 00:00:00;17735;2902;7328
2025-07-23 00:00:00;17696;2892;7308
2025-07-22 00:00:00;17690;2891;7305
2025-07-21 00:00:00;17680;2889;7301
2025-07-20 00:00:00;17671;2888;7299
2025-07-19 00:00:00;17665;2887;7297
2025-07-18 00:00:00;17660;2886;7293
2025-07-17 00:00:00;17654;2885;7290
2025-07-16 00:00:00;17647;2884;7287
2025-07-15 00:00:00;17641;2882;7284
2025-07-14 00:00:00;17639;2881;7281
2025-07-13 00:00:00;17637;2880;7278
2025-07-12 00:00:00;17628;2879;7273
2025-07-11 00:00:00;17623;2877;7270
2025-07-10 00:00:00;17618;2876;7266
2025-07-09 00:00:00;17608;2875;7262
2025-07-08 00:00:00;17603;2874;7259
2025-07-07 00:00:00;17601;2873;7255
2025-07-06 00:00:00;17588;2871;7251
2025-07-05 00:00:00;17575;2870;7247
2025-07-04 00:00:00;17568;2869;7243
2025-07-03 00:00:00;17563;2867;7238
2025-07-02 00:00:00;17556;2865;7235
2025-07-01 00:00:00;17550;2864;7231
2025-06-30 00:00:00;17545;2862;7227
2025-06-29 00:00:00;17536;2861;7225
2025-06-28 00:00:00;17530;2860;7223
2025-06-27 00:00:00;17523;2858;7219
2025-06-26 00:00:00;17511;2857;7217
2025-06-25 00:00:00;17504;2855;7213
2025-06-24 00:00:00;17494;2854;7211
2025-06-23 00:00:00;17487;2853;7207
2025-06-22 00:00:00;17477;2852;7205
2025-06-21 00:00:00;17472;2849;7203
2025-06-20 00:00:00;17462;2848;7199
2025-06-19 00:00:00;17449;2847;7197
2025-06-18 00:00:00;17437;2846;7194
2025-06-17 00:00:00;17429;2845;7191
2025-06-16 00:00:00;17424;2844;7189
2025-06-15 00:00:00;17418;2842;7186
2025-06-14 00:00:00;17413;2842;7184
2025-06-13 00:00:00;17411;2841;7183
2025-06-12 00:00:00;17409;2840;7181
2025-06-11 00:00:00;17407;2840;7179
2025-06-10 00:00:00;17406;2839;7178
2025-06-09 00:00:00;17397;2838;7175
2025-06-08 00:00:00;17387;2837;7173
2025-06-07 00:00:00;17381;2835;7169
2025-06-06 00:00:00;17377;2834;7165
2025-06-05 00:00:00;17373;2832;7160
2025-06-04 00:00:00;17365;2831;7157
2025-06-03 00:00:00;17359;2830;7154
2025-06-02 00:00:00;17350;2828;7151
2025-06-01 00:00:00;17342;2827;7148
2025-05-31 00:00:00;17335;2826;7146
2025-05-30 00:00:00;17322;2825;7142
2025-05-29 00:00:00;17316;2823;7139
2025-05-28 00:00:00;17312;2822;7137
2025-05-27 00:00:00;17308;2819;7129
2025-05-26 00:00:00;17300;2818;7126
2025-05-25 00:00:00;17289;2817;7124
2025-05-24 00:00:00;17279;2816;7122
2025-05-23 00:00:00;17273;2815;7118
2025-05-22 00:00:00;17267;2814;7115
2025-05-21 00:00:00;17257;2812;7112
2025-05-20 00:00:00;17251;2811;7108
2025-05-19 00:00:00;17243;2810;7105
2025-05-18 00:00:00;17236;2809;7103
2025-05-17 00:00:00;17231;2808;7100
2025-05-16 00:00:00;17219;2807;7097
2025-05-15 00:00:00;17210;2806;7094
2025-05-14 00:00:00;17205;2805;7092
2025-05-13 00:00:00;17200;2804;7087
2025-05-12 00:00:00;17188;2803;7084
2025-05-11 00:00:00;17178;2801;7082
2025-05-10 00:00:00;17167;2800;7080
2025-05-09 00:00:00;17160;2799;7076
2025-05-08 00:00:00;17154;2798;7072
2025-05-07 00:00:00;17145;2797;7069
2025-05-06 00:00:00;17135;2796;7066
2025-05-05 00:00:00;17128;2794;7061
2025-05-04 00:00:00;17121;2792;7043
2025-05-03 00:00:00;17116;2791;7040
2025-05-02 00:00:00;17109;2790;7036
2025-05-01 00:00:00;17097;2788;7032
2025-04-30 00:00:00;17088;2787;7029
2025-04-29 00:00:00;17082;2785;7026
2025-04-28 00:00:00;17073;2785;7025
2025-04-27 00:00:00;17060;2783;7023
2025-04-26 00:00:00;17054;2782;7020
2025-04-25 00:00:00;17044;2781;7018
2025-04-24 00:00:00;17037;2780;7015
2025-04-23 00:00:00;17026;2779;7012
2025-04-22 00:00:00;17016;2778;7009
2025-04-21 00:00:00;17011;2777;7005
2025-04-20 00:00:00;17005;2775;7001
2025-04-19 00:00:00;16998;2773;6998
2025-04-18 00:00:00;16988;2772;6995
2025-04-17 00:00:00;16980;2771;6992
2025-04-16 00:00:00;16972;2770;6988
2025-04-15 00:00:00;16963;2769;6984
2025-04-14 00:00:00;16952;2768;6978
2025-04-13 00:00:00;16947;2766;6975
2025-04-12 00:00:00;16943;2765;6973
2025-04-11 00:00:00;16936;2764;6969
2025-04-10 00:00:00;16927;2762;6966
2025-04-09 00:00:00;16920;2761;6961
2025-04-08 00:00:00;16911;2760;6958
2025-04-07 00:00:00;16906;2758;6954
2025-04-06 00:00:00;16892;2757;6951
2025-04-05 00:00:00;16881;2755;6947
2025-04-04 00:00:00;16875;2753;6943
2025-04-03 00:00:00;16871;2752;6939
2025-04-02 00:00:00;16860;2751;6936
2025-04-01 00:00:00;16856;2749;6931
2025-03-31 00:00:00;16849;2748;6928
2025-03-30 00:00:00;16835;2747;6925
2025-03-29 00:00:00;16829;2745;6923
2025-03-28 00:00:00;16825;2743;6919
2025-03-27 00:00:00;16819;2740;6916
2025-03-26 00:00:00;16811;2739;6911
2025-03-25 00:00:00;16802;2737;6907
2025-03-24 00:00:00;16789;2736;6903
2025-03-23 00:00:00;16779;2734;6900
2025-03-22 00:00:00;16773;2732;6897
2025-03-21 00:00:00;16768;2730;6892
2025-03-20 00:00:00;16763;2728;6888
2025-03-19 00:00:00;16755;2727;6884
2025-03-18 00:00:00;16748;2726;6879
2025-03-17 00:00:00;16737;2725;6876
2025-03-16 00:00:00;16722;2724;6873
2025-03-15 00:00:00;16715;2722;6870
2025-03-14 00:00:00;16712;2721;6866
2025-03-13 00:00:00;16706;2719;6862
2025-03-12 00:00:00;16703;2718;6859
2025-03-11 00:00:00;16697;2717;6855
2025-03-10 00:00:00;16693;2714;6851
2025-03-09 00:00:00;16683;2712;6846
2025-03-08 00:00:00;16669;2712;6843
2025-03-07 00:00:00;16663;2710;6840
2025-03-06 00:00:00;16652;2709;6835
2025-03-05 00:00:00;16643;2708;6831
2025-03-04 00:00:00;16639;2707;6827
2025-03-03 00:00:00;16634;2705;6823
2025-03-02 00:00:00;16628;2703;6818
2025-03-01 00:00:00;16616;2702;6815
2025-02-28 00:00:00;16613;2701;6812
2025-02-27 00:00:00;16610;2699;6809
2025-02-26 00:00:00;16602;2697;6805
2025-02-25 00:00:00;16596;2696;6803
2025-02-24 00:00:00;16589;2694;6798
2025-02-23 00:00:00;16580;2694;6794
2025-02-22 00:00:00;16571;2692;6791
2025-02-21 00:00:00;16567;2690;6788
2025-02-20 00:00:00;16561;2689;6783
2025-02-19 00:00:00;16548;2687;6779
2025-02-18 00:00:00;16541;2686;6775
2025-02-17 00:00:00;16529;2684;6771
2025-02-16 00:00:00;16523;2682;6768
2025-02-15 00:00:00;16519;2681;6765
2025-02-14 00:00:00;16512;2679;6762
2025-02-13 00:00:00;16503;2677;6756
2025-02-12 00:00:00;16493;2675;6752
2025-02-11 00:00:00;16484;2674;6748
2025-02-10 00:00:00;16477;2672;6744
2025-02-09 00:00:00;16473;2671;6740
2025-02-08 00:00:00;16466;2669;6736
2025-02-07 00:00:00;16456;2667;6733
2025-02-06 00:00:00;16454;2665;6729
2025-02-05 00:00:00;16442;2663;6726
2025-02-04 00:00:00;16427;2661;6722
2025-02-03 00:00:00;16419;2658;6718
2025-02-02 00:00:00;16412;2656;6711
2025-02-01 00:00:00;16405;2654;6705
2025-01-31 00:00:00;16394;2652;6700
2025-01-30 00:00:00;16387;2650;6694
2025-01-29 00:00:00;16376;2648;6689
2025-01-28 00:00:00;16369;2646;6685
2025-01-27 00:00:00;16360;2645;6680
2025-01-26 00:00:00;16353;2642;6673
2025-01-25 00:00:00;16348;2640;6669
2025-01-24 00:00:00;16341;2638;6664
2025-01-23 00:00:00;16337;2636;6658
2025-01-22 00:00:00;16328;2633;6651
2025-01-21 00:00:00;16315;2631;6643
2025-01-20 00:00:00;16308;2628;6637
2025-01-19 00:00:00;16299;2627;6632
2025-01-18 00:00:00;16292;2626;6629
2025-01-17 00:00:00;16289;2624;6625
2025-01-16 00:00:00;16277;2621;6618
2025-01-15 00:00:00;16268;2619;6611
2025-01-14 00:00:00;16264;2617;6606
2025-01-13 00:00:00;16256;2615;6602
2025-01-12 00:00:00;16245;2613;6599
2025-01-11 00:00:00;16238;2611;6592
2025-01-10 00:00:00;16231;2609;6585
2025-01-09 00:00:00;16225;2606;6577
2025-01-08 00:00:00;16213;2603;6569
2025-01-07 00:00:00;16203;2600;6562
2025-01-06 00:00:00;16197;2598;6555
2025-01-05 00:00:00;16190;2594;6546
2025-01-04 00:00:00;16183;2592;6542
2025-01-03 00:00:00;16175;2588;6530
2025-01-02 00:00:00;16165;2584;6524
2025-01-01 00:00:00;16156;2583;6520
2024-12-31 00:00:00;16152;2582;6517
2024-12-30 00:00:00;16144;2581;6514
2024-12-29 00:00:00;16137;2578;6509
2024-12-28 00:00:00;16130;2575;6504
2024-12-27 00:00:00;16126;2573;6500
2024-12-26 00:00:00;16118;2571;6493
2024-12-25 00:00:00;16105;2569;6489
2024-12-24 00:00:00;16087;2561;6475
2024-12-23 00:00:00;16082;2559;6470
2024-12-22 00:00:00;16072;2557;6465
2024-12-21 00:00:00;16062;2555;6459
2024-12-20 00:00:00;16046;2552;6454
2024-12-19 00:00:00;16032;2549;6448
2024-12-18 00:00:00;16024;2548;6442
2024-12-17 00:00:00;16014;2545;6435
2024-12-16 00:00:00;16004;2543;6430
2024-12-15 00:00:00;15996;2542;6427
2024-12-14 00:00:00;15989;2539;6421
2024-12-13 00:00:00;15983;2537;6414
2024-12-12 00:00:00;15977;2535;6410
2024-12-11 00:00:00;15969;2532;6403
2024-12-10 00:00:00;15958;2531;6398
2024-12-09 00:00:00;15953;2529;6391
2024-12-08 00:00:00;15944;2529;6386
2024-12-07 00:00:00;15941;2527;6383
2024-12-06 00:00:00;15938;2526;6381
2024-12-05 00:00:00;15932;2525;6378
2024-12-04 00:00:00;15926;2524;6372
2024-12-03 00:00:00;15920;2523;6368
2024-12-02 00:00:00;15918;2521;6364
2024-12-01 00:00:00;15907;2519;6361
2024-11-30 00:00:00;15905;2518;6358
2024-11-29 00:00:00;15897;2517;6354
2024-11-28 00:00:00;15892;2515;6350
2024-11-27 00:00:00;15885;2514;6347
2024-11-26 00:00:00;15879;2513;6344
2024-11-25 00:00:00;15875;2511;6340
2024-11-24 00:00:00;15865;2510;6337
2024-11-23 00:00:00;15861;2508;6332
2024-11-22 00:00:00;15858;2507;6327
2024-11-21 00:00:00;15847;2506;6324
2024-11-20 00:00:00;15839;2505;6321
2024-11-19 00:00:00;15833;2503;6316
2024-11-18 00:00:00;15831;2502;6313
2024-11-17 00:00:00;15824;2501;6310
2024-11-16 00:00:00;15818;2500;6307
2024-11-15 00:00:00;15816;2499;6305
2024-11-02 00:00:00;15730;2480;6260
2024-10-02 00:00:00;15525;2435;6151
2024-10-01 00:00:00;15518;2434;6147
2024-09-30 00:00:00;15513;2433;6144
2024-09-29 00:00:00;15507;2432;6141
2024-09-28 00:00:00;15500;2431;6138
2024-09-27 00:00:00;15491;2430;6135
2024-09-26 00:00:00;15485;2429;6132
2024-09-25 00:00:00;15475;2427;6128
2024-09-24 00:00:00;15470;2424;6125
2024-09-23 00:00:00;15464;2423;6122
2024-09-22 00:00:00;15454;2422;6120
2024-09-21 00:00:00;15446;2421;6117
2024-09-20 00:00:00;15436;2420;6114
2024-09-19 00:00:00;15431;2419;6110
2024-09-18 00:00:00;15424;2418;6107
2024-09-17 00:00:00;15418;2417;6104
2024-09-16 00:00:00;15411;2415;6101
2024-09-15 00:00:00;15401;2414;6098
2024-09-14 00:00:00;15391;2413;6096
2024-09-13 00:00:00;15383;2412;6093
2024-09-12 00:00:00;15378;2411;6090
2024-09-11 00:00:00;15369;2409;6086
2024-09-10 00:00:00;15359;2408;6083
2024-09-09 00:00:00;15348;2407;6081
2024-09-08 00:00:00;15342;2406;6079
2024-09-07 00:00:00;15334;2405;6077
2024-09-06 00:00:00;15329;2404;6072
2024-09-05 00:00:00;15324;2403;6070
2024-09-04 00:00:00;15317;2402;6067
2024-09-03 00:00:00;15311;2401;6063
2024-09-02 00:00:00;15304;2400;6061
2024-09-01 00:00:00;15299;2399;6058
2024-08-31 00:00:00;15297;2398;6056
2024-08-30 00:00:00;15292;2397;6054
2024-08-29 00:00:00;15278;2396;6052
2024-08-28 00:00:00;15271;2394;6045
2024-08-27 00:00:00;15265;2393;6042
2024-08-26 00:00:00;15259;2391;6039
2024-08-25 00:00:00;15249;2390;6037
2024-08-24 00:00:00;15243;2389;6035
2024-08-23 00:00:00;15237;2388;6031
2024-08-22 00:00:00;15231;2387;6028
2024-08-21 00:00:00;15221;2386;6025
2024-08-20 00:00:00;15210;2385;6023
2024-08-19 00:00:00;15203;2383;6020
2024-08-18 00:00:00;15194;2380;6017
2024-08-17 00:00:00;15182;2378;6014
2024-08-16 00:00:00;15175;2378;6011
2024-08-15 00:00:00;15164;2376;6009
2024-08-14 00:00:00;15154;2375;6006
2024-08-13 00:00:00;15148;2374;6003
2024-08-10 00:00:00;15124;2371;5993
2024-08-09 00:00:00;15120;2370;5990
2024-08-08 00:00:00;15118;2369;5987
2024-08-07 00:00:00;15110;2368;5985
2024-08-06 00:00:00;15099;2366;5981
2024-08-05 00:00:00;15088;2365;5979
2024-08-04 00:00:00;15077;2364;5976
2024-08-03 00:00:00;15073;2363;5974
2024-08-02 00:00:00;15070;2361;5970
2024-08-01 00:00:00;15068;2360;5967
2024-07-31 00:00:00;15061;2358;5964
2024-07-30 00:00:00;15055;2357;5961
2024-07-29 00:00:00;15045;2356;5957
2024-07-28 00:00:00;15037;2355;5954
2024-07-27 00:00:00;15034;2354;5952
2024-07-26 00:00:00;15026;2352;5949
2024-07-25 00:00:00;15021;2351;5946
2024-07-25 00:00:00;15026;2352;5949
2024-07-24 00:00:00;15013;2350;5943
2024-07-23 00:00:00;15006;2348;5940
2024-07-22 00:00:00;14998;2347;5937
2024-07-21 00:00:00;14990;2346;5935
2024-07-20 00:00:00;14984;2345;5933
2024-07-19 00:00:00;14980;2344;5929
2024-07-18 00:00:00;14978;2343;5926
2024-07-17 00:00:00;14970;2342;5924
2024-07-16 00:00:00;14964;2341;5921
2024-07-15 00:00:00;14958;2339;5918
2024-07-14 00:00:00;14947;2338;5916
2024-07-13 00:00:00;14944;2337;5913
2024-07-12 00:00:00;14936;2336;5911
2024-07-11 00:00:00;14931;2334;5908
2024-07-10 00:00:00;14926;2332;5905
2024-07-09 00:00:00;14920;2330;5900
2024-07-08 00:00:00;14916;2329;5898
2024-07-07 00:00:00;14912;2328;5895
2024-07-06 00:00:00;14910;2327;5893
2024-07-05 00:00:00;14908;2326;5889
2024-07-04 00:00:00;14905;2325;5887
2024-07-03 00:00:00;14903;2324;5884
2024-07-02 00:00:00;14900;2322;5881
2024-07-01 00:00:00;14898;2322;5879
2024-06-30 00:00:00;14896;2320;5876
2024-06-29 00:00:00;14894;2320;5875
2024-06-28 00:00:00;14892;2319;5873
2024-06-27 00:00:00;14891;2318;5871
2024-06-26 00:00:00;14889;2318;5869
2024-06-25 00:00:00;14887;2317;5868
2024-06-24 00:00:00;14885;2316;5866
2024-06-23 00:00:00;14884;2316;5864
2024-06-22 00:00:00;14882;2315;5863
2024-06-21 00:00:00;14880;2314;5861
2024-06-20 00:00:00;14879;2314;5859
2024-06-19 00:00:00;14877;2313;5857
2024-06-18 00:00:00;14874;2312;5856
2024-06-17 00:00:00;14870;2311;5853
2024-06-16 00:00:00;14866;2309;5851
2024-06-15 00:00:00;14863;2308;5846
2024-06-14 00:00:00;14860;2307;5840
2024-06-13 00:00:00;14856;2306;5838
2024-06-12 00:00:00;14854;2305;5835
2024-06-11 00:00:00;14852;2304;5832
2024-06-10 00:00:00;14848;2303;5829
2024-06-09 00:00:00;14846;2302;5824
2024-06-08 00:00:00;14842;2301;5819
2024-06-07 00:00:00;14840;2299;5816
2024-06-06 00:00:00;14838;2298;5814
2024-06-05 00:00:00;14834;2297;5811
2024-06-04 00:00:00;14830;2296;5807
2024-06-03 00:00:00;14826;2296;5804
2024-06-02 00:00:00;14818;2295;5801
2024-06-01 00:00:00;14811;2294;5799
2024-05-31 00:00:00;14809;2293;5796
2024-05-30 00:00:00;14805;2291;5794
2024-05-29 00:00:00;14801;2290;5790
2024-05-28 00:00:00;14799;2289;5786
2024-05-27 00:00:00;14788;2288;5783
2024-05-26 00:00:00;14781;2286;5781
2024-05-25 00:00:00;14772;2285;5777
2024-05-24 00:00:00;14770;2284;5775
2024-05-23 00:00:00;14768;2282;5771
2024-05-22 00:00:00;14758;2281;5768
2024-05-21 00:00:00;14748;2279;5766
2024-05-20 00:00:00;14740;2279;5763
2024-05-19 00:00:00;14733;2276;5760
2024-05-18 00:00:00;14721;2275;5757
2024-05-17 00:00:00;14715;2274;5754
2024-05-16 00:00:00;14711;2273;5750
2024-05-15 00:00:00;14702;2272;5748
2024-05-14 00:00:00;14696;2271;5745
2024-05-13 00:00:00;14685;2269;5742
2024-05-12 00:00:00;14674;2268;5740
2024-05-11 00:00:00;14663;2267;5737
2024-05-10 00:00:00;14659;2265;5733
2024-05-09 00:00:00;14654;2264;5731
2024-05-08 00:00:00;14644;2263;5727
2024-05-07 00:00:00;14634;2261;5724
2024-05-06 00:00:00;14627;2260;5721
2024-05-05 00:00:00;14620;2258;5718
2024-05-04 00:00:00;14612;2257;5714
2024-05-03 00:00:00;14607;2256;5711
2024-05-02 00:00:00;14605;2255;5708
2024-05-01 00:00:00;14595;2254;5705
2024-04-30 00:00:00;14591;2253;5702
2024-04-29 00:00:00;14584;2250;5698
2024-04-28 00:00:00;14576;2249;5696
2024-04-27 00:00:00;14573;2247;5692
2024-04-26 00:00:00;14569;2246;5689
2024-04-25 00:00:00;14566;2245;5687
2024-04-24 00:00:00;14557;2244;5684
2024-04-23 00:00:00;14545;2242;5681
2024-04-22 00:00:00;14537;2242;5678
2024-04-21 00:00:00;14528;2240;5676
2024-04-20 00:00:00;14518;2239;5674
2024-04-19 00:00:00;14514;2238;5670
2024-04-18 00:00:00;14508;2237;5667
2024-04-17 00:00:00;14497;2235;5665
2024-04-16 00:00:00;14491;2234;5662
2024-04-15 00:00:00;14485;2232;5659
2024-04-14 00:00:00;14478;2230;5656
2024-04-13 00:00:00;14469;2230;5654
2024-04-12 00:00:00;14460;2229;5651
2024-04-11 00:00:00;14454;2227;5647
2024-04-10 00:00:00;14444;2226;5645
2024-04-09 00:00:00;14434;2225;5642
2024-04-08 00:00:00;14419;2224;5639
2024-04-07 00:00:00;14410;2222;5637
2024-04-06 00:00:00;14397;2221;5634
2024-04-05 00:00:00;14393;2220;5631
2024-04-04 00:00:00;14386;2219;5629
2024-04-03 00:00:00;14378;2218;5626
2024-04-02 00:00:00;14371;2217;5624
2024-04-01 00:00:00;14366;2216;5620
2024-03-31 00:00:00;14358;2214;5618
2024-03-30 00:00:00;14354;2213;5615
2024-03-29 00:00:00;14352;2212;5612
2024-03-28 00:00:00;14347;2211;5609
2024-03-27 00:00:00;14340;2210;5606
2024-03-26 00:00:00;14329;2208;5603
2024-03-25 00:00:00;14323;2207;5600
2024-03-24 00:00:00;14316;2206;5596
2024-03-23 00:00:00;14310;2205;5593
2024-03-22 00:00:00;14307;2204;5590
2024-03-21 00:00:00;14303;2203;5587
2024-03-20 00:00:00;14296;2201;5584
2024-03-18 00:00:00;14277;2199;5579
2024-03-17 00:00:00;14263;2198;5576
2024-03-16 00:00:00;14260;2197;5574
2024-03-15 00:00:00;14258;2196;5570
2024-03-14 00:00:00;14255;2195;5568
2024-03-13 00:00:00;14245;2193;5565
2024-03-12 00:00:00;14238;2191;5560
2024-03-11 00:00:00;14230;2190;5558
2024-03-10 00:00:00;14225;2189;5555
2024-03-09 00:00:00;14219;2188;5551
2024-03-08 00:00:00;14217;2187;5547
2024-03-07 00:00:00;14214;2186;5543
2024-03-06 00:00:00;14208;2185;5540
2024-03-05 00:00:00;14198;2184;5538
2024-03-04 00:00:00;14187;2183;5534
2024-03-03 00:00:00;14176;2182;5532
2024-03-02 00:00:00;14170;2181;5530
2024-03-01 00:00:00;14167;2179;5527
2024-02-29 00:00:00;14164;2178;5523
2024-02-28 00:00:00;14158;2177;5517
2024-02-27 00:00:00;14147;2175;5515
2024-02-26 00:00:00;14138;2174;5513
2024-02-25 00:00:00;14131;2172;5509
2024-02-24 00:00:00;14129;2171;5506
2024-02-23 00:00:00;14122;2171;5503
2024-02-22 00:00:00;14117;2169;5500
2024-02-21 00:00:00;14110;2168;5496
2024-02-20 00:00:00;14103;2167;5493
2024-02-19 00:00:00;14093;2166;5491
2024-02-18 00:00:00;14085;2165;5488
2024-02-17 00:00:00;14076;2164;5485
2024-02-16 00:00:00;14074;2163;5481
2024-02-15 00:00:00;14071;2162;5478
2024-02-14 00:00:00;14066;2160;5474
2024-02-13 00:00:00;14054;2159;5471
2024-02-12 00:00:00;14047;2158;5468
2024-02-11 00:00:00;14037;2157;5465
2024-02-10 00:00:00;14030;2156;5463
2024-02-09 00:00:00;14023;2155;5459
2024-02-08 00:00:00;14015;2154;5456
2024-02-07 00:00:00;14004;2153;5453
2024-02-06 00:00:00;13994;2151;5449
2024-02-05 00:00:00;13985;2150;5446
2024-02-04 00:00:00;13979;2149;5444
2024-02-03 00:00:00;13974;2147;5440
2024-02-02 00:00:00;13974;2147;5440
2024-02-02 00:00:00;13968;2146;5437
2024-02-01 00:00:00;13964;2145;5435
2024-01-31 00:00:00;13954;2143;5432
2024-01-30 00:00:00;13944;2142;5428
2024-01-29 00:00:00;13935;2141;5425
2024-01-28 00:00:00;13923;2140;5423
2024-01-27 00:00:00;13920;2138;5419
2024-01-26 00:00:00;13918;2137;5417
2024-01-25 00:00:00;13916;2136;5413
2024-01-24 00:00:00;13913;2135;5410
2024-01-23 00:00:00;13908;2134;5407
2024-01-22 00:00:00;13898;2133;5404
2024-01-21 00:00:00;13888;2131;5401
2024-01-20 00:00:00;13881;2130;5398
2024-01-19 00:00:00;13874;2128;5393
2024-01-18 00:00:00;13867;2127;5390
2024-01-17 00:00:00;13861;2125;5387
2024-01-16 00:00:00;13855;2124;5381
2024-01-15 00:00:00;13844;2122;5378
2024-01-14 00:00:00;13837;2121;5376
2024-01-13 00:00:00;13830;2120;5373
2024-01-12 00:00:00;13824;2119;5370
2024-01-11 00:00:00;13816;2118;5367
2024-01-10 00:00:00;13812;2117;5365
2024-01-09 00:00:00;13805;2116;5361
2024-01-08 00:00:00;13798;2115;5359
2024-01-07 00:00:00;13794;2114;5356
2024-01-06 00:00:00;13785;2111;5351
2024-01-05 00:00:00;13778;2110;5348
2024-01-04 00:00:00;13772;2109;5345
2024-01-03 00:00:00;13768;2108;5341
2024-01-02 00:00:00;13765;2107;5338
2024-01-01 00:00:00;13762;2106;5334
2023-12-31 00:00:00;13755;2103;5326
2023-12-30 00:00:00;13748;2101;5324
2023-12-29 00:00:00;13740;2099;5316
2023-12-28 00:00:00;13728;2099;5312
2023-12-27 00:00:00;13717;2098;5309
2023-12-26 00:00:00;13711;2097;5306
2023-12-25 00:00:00;13697;2095;5301
2023-12-24 00:00:00;13691;2094;5299
2023-12-23 00:00:00;13683;2093;5295
2023-12-22 00:00:00;13673;2092;5292
2023-12-21 00:00:00;13660;2091;5290
2023-12-20 00:00:00;13655;2090;5288
2023-12-19 00:00:00;13649;2087;5284
2023-12-18 00:00:00;13641;2085;5280
2023-12-17 00:00:00;13636;2081;5277
2023-12-16 00:00:00;13628;2078;5272
2023-12-15 00:00:00;13622;2076;5268
2023-12-14 00:00:00;13611;2075;5266
2023-12-13 00:00:00;13605;2075;5265
