Date;Temperature_Max_C;Temperature_Min_C;Humidity_Mean_%;Precipitation_mm;UV_Index_Max
2022-05-26;34.3;24.2;51;0;9.4
2022-05-27;34.2;24.2;48;0;10.2
2022-05-28;32.3;23.3;58;0;8.9
2022-05-29;34.9;24.6;61;14.4;8.8
2022-05-30;31.4;22.9;65;0;10.4
2022-05-31;36.3;25.4;58;13.2;10.2
2022-06-01;32.1;23.3;61;0;9.4
2022-06-02;33.1;23.8;64;0;10.4
2022-06-03;31.8;23.2;53;0;9.4
2022-06-04;32.9;23.8;63;0;10.8
2022-06-05;36.4;25.5;61;0;10.6
2022-06-06;32.6;23.6;49;0;10.1
2022-06-07;34.3;24.5;54;0;8.9
2022-06-08;36.8;25.8;62;0;9.8
2022-06-09;37.0;25.9;57;0;9.7
2022-06-10;34.2;24.5;59;0;9.3
2022-06-11;34.4;24.6;47;0;9.6
2022-06-12;32.1;23.5;63;0;9.8
2022-06-13;37.4;26.2;51;0;10.6
2022-06-14;37.2;26.1;49;0;10.4
2022-06-15;32.8;23.9;58;0;9.6
2022-06-16;37.2;26.1;62;0;10.3
2022-06-17;35.5;25.2;65;0;10.4
2022-06-18;33.9;24.4;65;0;9.9
2022-06-19;37.4;26.2;46;0;10.5
2022-06-20;37.6;26.3;46;0;10.2
2022-06-21;32.7;23.9;48;0;9.0
2022-06-22;32.8;23.9;64;0;10.2
2022-06-23;33.6;24.3;60;0;10.4
2022-06-24;36.5;25.7;51;0;10.7
2022-06-25;35.5;25.3;53;0;9.5
2022-06-26;37.9;26.4;59;0;10.8
2022-06-27;34.1;24.5;49;0;9.7
2022-06-28;37.7;26.3;52;0;10.0
2022-06-29;37.2;26.0;65;0;10.2
2022-06-30;32.8;23.8;49;0;10.3
2022-07-01;33.9;24.4;64;0;10.3
2022-07-02;37.6;26.2;52;0;10.0
2022-07-03;33.1;23.9;54;0;10.7
2022-07-04;36.0;25.4;49;0;9.9
2022-07-05;36.5;25.6;65;0;9.6
2022-07-06;34.4;24.5;51;0;10.2
2022-07-07;36.6;25.6;65;0;9.3
2022-07-08;34.9;24.7;56;0;9.5
2022-07-09;35.1;24.8;47;0;9.1
2022-07-10;32.6;23.5;62;0;9.7
2022-07-11;36.9;25.6;54;0;10.2
2022-07-12;34.2;24.3;55;0;9.4
2022-07-13;32.0;23.1;62;0;9.0
2022-07-14;34.8;24.5;48;0;9.4
2022-07-15;36.4;25.3;66;0;8.6
2022-07-16;33.6;23.8;61;0;10.0
2022-07-17;32.3;23.1;48;1.6;9.2
2022-07-18;33.6;23.7;47;0;8.8
2022-07-19;36.2;25.0;65;0;8.8
2022-07-20;31.3;22.5;57;0;10.0
2022-07-21;36.3;24.9;47;0;9.8
2022-07-22;34.7;24.1;63;0;9.6
2022-07-23;34.3;23.9;52;0;9.1
2022-07-24;30.5;21.9;60;0;10.1
2022-07-25;34.6;23.9;56;0;8.7
2022-07-26;31.0;22.1;68;0;10.0
2022-07-27;33.5;23.3;58;0;8.1
2022-07-28;31.3;22.1;49;7.6;9.1
2022-07-29;30.8;21.8;57;0;9.5
2022-07-30;34.3;23.5;64;0;8.6
2022-07-31;30.8;21.7;56;0;8.3
2022-08-01;29.6;21.1;55;0;9.2
2022-08-02;31.7;22.0;59;0;9.5
2022-08-03;32.7;22.5;57;0;9.5
2022-08-04;32.6;22.4;60;0;9.4
2022-08-05;31.4;21.7;50;0;9.1
2022-08-06;32.8;22.4;52;0;7.7
2022-08-07;32.3;22.1;60;0;7.8
2022-08-08;33.0;22.4;59;7.9;7.5
2022-08-09;28.6;20.1;60;0;8.7
2022-08-10;33.8;22.6;60;0;7.3
2022-08-11;30.4;20.8;65;0;9.0
2022-08-12;33.0;22.1;66;0;7.5
2022-08-13;31.9;21.5;66;0;7.1
2022-08-14;33.6;22.2;69;0;7.0
2022-08-15;29.1;19.9;58;0;7.0
2022-08-16;32.6;21.6;62;0;8.8
2022-08-17;29.1;19.8;54;0;8.1
2022-08-18;29.8;20.0;58;0;8.6
2022-08-19;32.2;21.2;62;0;8.3
2022-08-20;31.2;20.6;62;0;7.7
2022-08-21;31.8;20.8;65;0;6.7
2022-08-22;31.3;20.5;54;0;7.8
2022-08-23;29.1;19.3;61;0;7.9
2022-08-24;30.2;19.8;67;0;7.8
2022-08-25;30.7;20.0;65;0;7.4
2022-08-26;31.9;20.5;71;0;6.1
2022-08-27;26.4;17.6;69;2.8;6.6
2022-08-28;31.3;20.1;67;0;7.5
2022-08-29;27.6;18.1;55;0;6.1
2022-08-30;29.7;19.1;72;0;5.7
2022-08-31;30.6;19.5;64;0;6.7
2022-09-01;27.9;18.0;66;0;6.4
2022-09-02;25.0;16.5;72;0;5.8
2022-09-03;30.5;19.1;57;0;6.0
2022-09-04;30.3;19.0;74;0;5.5
2022-09-05;29.6;18.6;68;0;7.1
2022-09-06;27.6;17.5;75;0;6.7
2022-09-07;26.5;16.8;72;0;5.5
2022-09-08;26.1;16.6;66;0;5.4
2022-09-09;29.6;18.2;70;0;6.1
2022-09-10;27.8;17.2;66;0;5.9
2022-09-11;26.2;16.3;69;0;5.9
2022-09-12;23.3;14.8;60;0;5.5
2022-09-13;28.1;17.1;59;0;4.8
2022-09-14;24.5;15.2;68;0;4.9
2022-09-15;23.0;14.4;70;0;5.7
2022-09-16;28.0;16.8;75;0;6.1
2022-09-17;25.9;15.7;74;0;6.2
2022-09-18;27.1;16.2;78;0;5.4
2022-09-19;28.0;16.5;61;0;4.8
2022-09-20;22.7;13.8;62;0;4.2
2022-09-21;25.0;14.9;80;0;4.1
2022-09-22;23.2;13.9;80;0;5.0
2022-09-23;23.9;14.2;67;0;4.6
2022-09-24;27.2;15.7;70;0;4.2
2022-09-25;26.5;15.3;63;0;4.9
2022-09-26;26.0;14.9;65;0;4.8
2022-09-27;23.2;13.4;64;0;3.4
2022-09-28;24.7;14.1;65;0;4.7
2022-09-29;24.9;14.1;75;0;4.0
2022-09-30;23.9;13.6;72;0;3.9
2022-10-01;20.4;11.7;67;0;4.5
2022-10-02;25.8;14.3;81;0;4.3
2022-10-03;24.5;13.6;79;12.4;2.9
2022-10-04;23.5;13.0;83;0;4.2
2022-10-05;22.2;12.3;74;3.2;3.3
2022-10-06;24.7;13.4;76;0;4.1
2022-10-07;19.8;10.9;73;0;2.7
2022-10-08;19.7;10.8;65;0;3.6
2022-10-09;20.4;11.1;69;0;4.2
2022-10-10;22.7;12.1;78;0;3.7
2022-10-11;21.4;11.4;72;8.9;4.1
2022-10-12;21.4;11.3;69;0;2.9
2022-10-13;24.0;12.5;67;0;3.4
2022-10-14;19.8;10.3;70;0;2.5
2022-10-15;22.2;11.5;86;8.7;2.9
2022-10-16;23.6;12.1;84;0;2.7
2022-10-17;18.1;9.3;85;0;2.7
2022-10-18;17.9;9.1;86;0;2.6
2022-10-19;19.9;10.0;80;0;2.6
2022-10-20;17.5;8.8;87;0;1.8
2022-10-21;17.2;8.5;80;7.8;2.8
2022-10-22;17.0;8.4;85;0;1.8
2022-10-23;16.9;8.2;69;3.7;3.0
2022-10-24;17.7;8.6;84;0;2.8
2022-10-25;21.0;10.1;82;0;1.9
2022-10-26;21.9;10.5;75;0;1.3
2022-10-27;19.1;9.0;79;0;2.8
2022-10-28;16.0;7.4;69;0;1.8
2022-10-29;17.3;8.0;81;12.1;1.7
2022-10-30;16.7;7.7;83;6.3;1.9
2022-10-31;20.5;9.5;81;0;2.1
2022-11-01;15.9;7.1;85;0;2.3
2022-11-02;18.6;8.4;80;24.2;1.8
2022-11-03;17.8;7.9;75;10.2;1.8
2022-11-04;19.4;8.7;74;0;1.6
2022-11-05;15.4;6.6;84;0;1.0
2022-11-06;19.7;8.7;72;0;0.8
2022-11-07;20.4;9.0;87;21.2;0.8
2022-11-08;17.3;7.4;77;0;1.4
2022-11-09;20.1;8.7;84;16.7;1.5
2022-11-10;15.1;6.2;80;0;0.2
2022-11-11;16.4;6.8;75;16.1;1.2
2022-11-12;16.1;6.6;86;0;1.5
2022-11-13;15.1;6.0;74;0;1.4
2022-11-14;18.5;7.7;79;0;0.2
2022-11-15;14.8;5.8;85;0;0.0
2022-11-16;16.9;6.8;73;0;0.4
2022-11-17;13.7;5.1;75;0;0
2022-11-18;17.3;6.9;75;0;0
2022-11-19;18.4;7.4;79;0;1.2
2022-11-20;17.6;7.0;74;4.1;1.6
2022-11-21;16.6;6.4;89;18.7;1.3
2022-11-22;14.2;5.1;75;0;0.1
2022-11-23;13.9;5.0;84;14.4;1.1
2022-11-24;18.5;7.2;90;21.2;1.3
2022-11-25;15.5;5.7;88;0;0.9
2022-11-26;18.3;7.1;90;0;0.7
2022-11-27;13.6;4.7;90;0;0
2022-11-28;15.4;5.5;80;0;0.4
2022-11-29;17.1;6.4;86;15.7;0
2022-11-30;16.6;6.1;82;0;0
2022-12-01;18.5;7.0;79;0;0.9
2022-12-02;13.8;4.6;82;0;0
2022-12-03;17.2;6.3;84;0;0
2022-12-04;16.2;5.8;86;17.2;0
2022-12-05;14.2;4.7;81;0;0
2022-12-06;14.4;4.8;84;0;0
2022-12-07;18.1;6.7;89;0;0.5
2022-12-08;13.8;4.5;80;0;0
2022-12-09;13.4;4.3;78;8.2;0
2022-12-10;17.0;6.1;90;0;0.7
2022-12-11;16.7;5.9;77;0;0
2022-12-12;14.6;4.8;87;0;0
2022-12-13;14.8;4.9;76;23.6;0.9
2022-12-14;15.4;5.2;90;1.1;0
2022-12-15;18.0;6.5;78;0;0.6
2022-12-16;13.1;4.0;90;0;0
2022-12-17;18.0;6.5;79;6.7;0.7
2022-12-18;12.9;3.9;78;2.8;0.5
2022-12-19;14.5;4.8;90;0;0
2022-12-20;13.2;4.1;90;0;0.9
2022-12-21;13.6;4.3;85;0;0.8
2022-12-22;12.1;3.6;90;15.0;0.7
2022-12-23;14.9;5.0;81;0;0
2022-12-24;16.9;6.0;89;0;0.2
2022-12-25;12.4;3.7;88;11.0;0
2022-12-26;16.2;5.7;77;0;0
2022-12-27;14.5;4.8;86;0;0
2022-12-28;17.3;6.2;90;24.0;0.7
2022-12-29;17.6;6.4;86;0;0.5
2022-12-30;13.0;4.1;86;0;0
2022-12-31;12.2;3.7;85;0;0.5
2023-01-01;14.4;4.8;78;0;1.0
2023-01-02;16.5;5.9;90;10.3;0.3
2023-01-03;18.1;6.7;82;0;0.1
2023-01-04;14.5;4.9;90;0.5;0
2023-01-05;13.2;4.3;86;0;0.4
2023-01-06;12.9;4.2;90;19.0;0.5
2023-01-07;12.9;4.2;76;0;0
2023-01-08;17.1;6.3;79;18.4;0
2023-01-09;17.0;6.3;79;0;0.9
2023-01-10;16.2;5.9;90;0;1.0
2023-01-11;16.1;5.9;90;0;0.4
2023-01-12;15.1;5.4;90;11.9;0.8
2023-01-13;14.9;5.4;90;0;1.2
2023-01-14;14.2;5.1;87;11.9;1.4
2023-01-15;15.4;5.7;89;20.6;0.8
2023-01-16;17.3;6.7;89;0;1.0
2023-01-17;16.0;6.1;79;18.7;0
2023-01-18;13.9;5.1;83;0;1.4
2023-01-19;19.1;7.7;83;9.8;0
2023-01-20;16.7;6.6;87;0;0.3
2023-01-21;15.4;6.0;82;9.6;0
2023-01-22;13.8;5.2;90;18.2;0.2
2023-01-23;14.6;5.6;77;19.9;0.5
2023-01-24;16.3;6.5;74;5.4;1.4
2023-01-25;19.6;8.2;89;0;0.1
2023-01-26;19.4;8.2;76;6.8;0.7
2023-01-27;18.0;7.6;77;0;1.5
2023-01-28;15.0;6.1;89;0;0.5
2023-01-29;16.7;7.0;87;0;1.2
2023-01-30;18.9;8.2;74;0;2.2
2023-01-31;14.8;6.1;77;9.1;1.5
2023-02-01;15.3;6.5;80;0;1.4
2023-02-02;17.0;7.4;80;12.8;1.1
2023-02-03;19.4;8.6;81;0;1.8
2023-02-04;18.1;8.0;71;4.1;2.2
2023-02-05;20.4;9.3;72;0;1.9
2023-02-06;20.0;9.1;89;0;1.3
2023-02-07;18.5;8.4;77;14.8;2.6
2023-02-08;21.2;9.9;78;0;0.9
2023-02-09;16.3;7.4;74;0;1.7
2023-02-10;19.3;9.1;70;0;1.7
2023-02-11;18.7;8.8;81;0;2.0
2023-02-12;21.7;10.4;77;0;2.8
2023-02-13;19.5;9.3;70;0;1.3
2023-02-14;17.7;8.5;76;0;2.3
2023-02-15;22.4;10.9;75;0;2.7
2023-02-16;17.1;8.4;85;0;1.5
2023-02-17;20.5;10.1;80;15.4;2.9
2023-02-18;20.5;10.2;77;0;3.2
2023-02-19;18.4;9.2;84;0;2.3
2023-02-20;20.1;10.2;84;0;2.7
2023-02-21;20.9;10.6;75;0;3.4
2023-02-22;20.5;10.5;84;21.5;3.7
2023-02-23;22.9;11.8;86;0;3.4
2023-02-24;22.2;11.5;75;0;2.2
2023-02-25;19.9;10.4;83;0;3.1
2023-02-26;20.0;10.6;84;0;2.7
2023-02-27;20.3;10.8;82;0;2.8
2023-02-28;22.9;12.2;81;0;3.5
2023-03-01;21.4;11.5;80;0;3.3
2023-03-02;20.5;11.2;82;0;2.4
2023-03-03;23.2;12.6;77;0;3.8
2023-03-04;24.9;13.5;75;0;3.6
2023-03-05;20.6;11.4;74;0.4;3.0
2023-03-06;24.5;13.5;80;16.1;3.9
2023-03-07;22.6;12.6;76;0;3.9
2023-03-08;25.5;14.1;67;6.5;4.8
2023-03-09;25.9;14.4;79;0;3.8
2023-03-10;22.6;12.8;77;0;4.3
2023-03-11;25.8;14.5;81;23.0;4.9
2023-03-12;23.3;13.4;64;0;3.6
2023-03-13;26.3;15.0;67;17.9;4.5
2023-03-14;25.4;14.6;64;13.0;4.1
2023-03-15;23.5;13.8;66;0;4.9
2023-03-16;25.3;14.7;70;8.5;4.2
2023-03-17;24.3;14.3;73;0;3.9
2023-03-18;24.7;14.6;69;10.4;5.0
2023-03-19;27.1;15.9;73;0;5.2
2023-03-20;22.4;13.6;61;0;5.7
2023-03-21;23.4;14.2;69;0;4.1
2023-03-22;27.8;16.5;79;13.2;5.4
2023-03-23;27.9;16.6;68;0;4.5
2023-03-24;25.8;15.6;62;0;5.4
2023-03-25;26.4;16.1;66;0;6.1
2023-03-26;25.0;15.4;71;0;4.7
2023-03-27;28.0;17.0;63;13.9;4.6
2023-03-28;25.2;15.7;64;2.1;5.5
2023-03-29;27.3;16.8;68;0;5.9
2023-03-30;29.3;17.9;64;8.5;5.1
2023-03-31;26.4;16.6;59;0;5.0
2023-04-01;26.7;16.8;75;0;5.1
2023-04-02;24.5;15.8;66;0;5.1
2023-04-03;30.0;18.6;61;0;7.1
2023-04-04;29.1;18.2;62;0;6.5
2023-04-05;27.6;17.6;70;0;7.2
2023-04-06;26.2;17.0;69;0;6.5
2023-04-07;29.1;18.5;73;5.4;7.3
2023-04-08;27.5;17.8;61;0;5.5
2023-04-09;29.2;18.7;65;0;6.2
2023-04-10;28.2;18.3;60;0;6.4
2023-04-11;30.7;19.6;55;0;6.3
2023-04-12;30.4;19.6;74;0;7.3
2023-04-13;30.6;19.8;69;0;6.7
2023-04-14;29.9;19.4;61;0;7.2
2023-04-15;30.4;19.8;73;0;6.5
2023-04-16;28.1;18.7;66;0;6.3
2023-04-17;29.2;19.3;65;0;7.1
2023-04-18;31.9;20.8;59;5.0;6.7
2023-04-19;31.3;20.6;66;12.0;7.7
2023-04-20;28.2;19.1;55;0;7.7
2023-04-21;28.0;19.0;65;0;7.2
2023-04-22;28.3;19.3;68;0;7.0
2023-04-23;32.5;21.4;65;0;7.1
2023-04-24;27.8;19.2;65;0;7.5
2023-04-25;33.1;21.9;63;0;7.3
2023-04-26;30.6;20.7;57;0;7.0
2023-04-27;33.9;22.4;54;0;7.2
2023-04-28;31.9;21.5;68;0;8.6
2023-04-29;29.8;20.5;62;0;8.0
2023-04-30;33.5;22.4;59;0;7.4
2023-05-01;31.7;21.6;55;10.4;8.2
2023-05-02;30.8;21.2;50;0;8.3
2023-05-03;31.4;21.6;51;0;8.1
2023-05-04;33.1;22.5;56;0;8.7
2023-05-05;29.7;20.8;68;0;9.1
2023-05-06;30.3;21.2;51;0;7.6
2023-05-07;32.3;22.3;69;11.3;9.0
2023-05-08;29.8;21.1;67;0;8.3
2023-05-09;31.7;22.1;59;0;9.1
2023-05-10;34.1;23.3;54;10.8;8.2
2023-05-11;34.2;23.5;53;0;9.8
2023-05-12;35.1;23.9;53;0;9.7
2023-05-13;32.9;22.9;64;0;8.0
2023-05-14;30.9;21.9;59;0;8.4
2023-05-15;31.4;22.3;49;0;8.1
2023-05-16;30.4;21.8;49;0;8.4
2023-05-17;31.1;22.2;58;11.5;9.5
2023-05-18;33.2;23.3;57;0;10.1
2023-05-19;33.6;23.6;58;0;10.0
2023-05-20;32.9;23.2;49;0;8.9
2023-05-21;31.2;22.4;55;0;9.0
2023-05-22;36.6;25.2;61;0;8.6
2023-05-23;31.0;22.4;59;0;9.5
2023-05-24;33.6;23.8;62;0;9.5
2023-05-25;36.8;25.4;64;0;10.2
2023-05-26;36.8;25.4;58;0;10.0
2023-05-27;34.5;24.3;66;0;8.6
2023-05-28;32.2;23.2;56;0;9.3
2023-05-29;35.4;24.8;52;14.7;9.5
2023-05-30;33.4;23.9;54;14.5;8.7
2023-05-31;34.1;24.3;56;0;10.2
2023-06-01;36.4;25.4;49;0;9.0
2023-06-02;37.3;25.9;61;0;9.1
2023-06-03;32.4;23.5;54;0;10.6
2023-06-04;36.9;25.8;53;0;9.4
2023-06-05;37.3;26.0;58;0;9.2
2023-06-06;35.2;25.0;62;0;10.1
2023-06-07;35.9;25.3;63;0;10.2
2023-06-08;33.5;24.1;53;0;10.9
2023-06-09;32.2;23.5;50;0;10.6
2023-06-10;34.6;24.7;61;0;9.1
2023-06-11;37.1;26.0;65;0;10.6
2023-06-12;37.6;26.3;52;0;10.1
2023-06-13;33.5;24.2;54;0;9.4
2023-06-14;34.2;24.6;46;0;9.1
2023-06-15;36.2;25.6;57;0;9.7
2023-06-16;34.3;24.6;63;0;10.9
2023-06-17;32.1;23.5;57;0;10.9
2023-06-18;36.2;25.6;53;0;10.4
2023-06-19;35.8;25.4;45;0;10.9
2023-06-20;34.8;24.9;45;0;10.3
2023-06-21;37.6;26.3;47;0;9.2
2023-06-22;33.2;24.1;65;0;10.2
2023-06-23;37.5;26.2;48;0;9.0
2023-06-24;36.3;25.6;53;0;9.5
2023-06-25;37.8;26.4;57;0;10.2
2023-06-26;32.8;23.9;50;0;9.4
2023-06-27;32.0;23.5;64;6.2;9.9
2023-06-28;33.5;24.2;50;0;9.7
2023-06-29;33.2;24.0;60;0;9.5
2023-06-30;37.7;26.3;51;0;10.3
2023-07-01;35.8;25.3;54;0;10.3
2023-07-02;36.1;25.4;64;0;8.9
2023-07-03;33.0;23.9;49;0;10.2
2023-07-04;34.7;24.7;50;0;9.7
2023-07-05;34.7;24.7;57;0;9.1
2023-07-06;34.0;24.3;55;0;9.0
2023-07-07;35.5;25.0;51;0;10.1
2023-07-08;34.2;24.4;63;0;9.2
2023-07-09;36.7;25.6;55;0;10.6
2023-07-10;33.7;24.0;50;0;9.0
2023-07-11;33.6;24.0;54;0;9.4
2023-07-12;32.6;23.4;65;0;9.5
2023-07-13;36.4;25.3;51;0;8.9
2023-07-14;31.9;23.0;47;0;10.4
2023-07-15;34.1;24.1;52;0;9.0
2023-07-16;32.5;23.2;57;0;10.1
2023-07-17;36.2;25.1;59;0;9.7
2023-07-18;34.5;24.2;57;0;8.6
2023-07-19;32.6;23.2;49;0;9.6
2023-07-20;31.9;22.8;53;0;9.0
2023-07-21;32.9;23.3;54;0;9.7
2023-07-22;35.2;24.4;49;0;9.9
2023-07-23;31.5;22.5;66;0;9.3
2023-07-24;35.7;24.5;62;0;8.9
2023-07-25;34.5;23.9;67;0;8.4
2023-07-26;32.4;22.8;66;0;10.0
2023-07-27;35.9;24.5;59;0;8.3
2023-07-28;35.6;24.3;62;0;8.7
2023-07-29;34.2;23.5;53;0;8.3
2023-07-30;34.1;23.4;49;0;9.8
2023-07-31;32.7;22.6;63;0;7.9
2023-08-01;30.9;21.7;60;5.9;8.3
2023-08-02;29.7;21.0;51;0;9.3
2023-08-03;32.3;22.3;66;0;9.3
2023-08-04;32.4;22.3;67;0;9.3
2023-08-05;34.5;23.3;69;0;8.5
2023-08-06;33.6;22.8;51;0;8.8
2023-08-07;31.7;21.8;50;0;7.9
2023-08-08;32.6;22.1;59;0;7.8
2023-08-09;31.7;21.6;57;0;7.4
2023-08-10;32.4;21.9;64;0;9.2
2023-08-11;29.5;20.4;69;0;8.3
2023-08-12;31.7;21.4;65;0;8.8
2023-08-13;32.8;21.9;58;0;8.4
2023-08-14;32.7;21.8;57;0;8.0
2023-08-15;28.4;19.5;62;0;8.3
2023-08-16;32.2;21.4;67;0;7.1
2023-08-17;28.0;19.2;53;1.7;8.4
2023-08-18;27.9;19.1;54;0;7.5
